2026-07-28 14:05:24,830 | ERROR   | telegram     | telegram sendPhoto failed: {'ok': False, 'error_code': 400, 'description': 'Bad Request: failed to get HTTP URL content'}
2026-07-28 14:05:24,929 | ERROR   | telegram     | telegram sendPhoto failed: {'ok': False, 'error_code': 400, 'description': 'Bad Request: object expected as reply markup'}
2026-07-28 14:19:17,505 | ERROR   | telegram     | telegram sendPhoto failed: {'ok': False, 'error_code': 400, 'description': 'Bad Request: wrong type of the web page content'}
2026-07-28 14:19:17,603 | ERROR   | telegram     | telegram sendPhoto failed: {'ok': False, 'error_code': 400, 'description': 'Bad Request: object expected as reply markup'}
2026-07-28 14:19:17,857 | ERROR   | telegram     | telegram sendMessage failed: {'ok': False, 'error_code': 400, 'description': 'Bad Request: object expected as reply markup'}
2026-07-28 14:19:33,808 | ERROR   | telegram     | telegram sendMessage failed: {'ok': False, 'error_code': 400, 'description': 'Bad Request: object expected as reply markup'}
2026-07-28 14:42:42,922 | WARNING | src.base     | GET https://rsshub.app/twitter/user/FabrizioRomano -> 404
2026-07-28 14:42:54,715 | WARNING | src.base     | GET https://nitter.privacydev.net/FabrizioRomano/rss failed: HTTPSConnectionPool(host='nitter.privacydev.net', port=443): Max retries exceeded with url: /FabrizioRomano/rss (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'nitter.privacydev.net'. (_ssl.c:1032)")))
2026-07-28 14:43:03,152 | WARNING | src.base     | GET https://nitter.poast.org/FabrizioRomano/rss -> 403
2026-07-28 14:43:07,762 | ERROR   | src.romano   | هیچ فیدی برای رومانو جواب نداد — ROMANO_FEEDS را بررسی کنید
2026-07-28 14:44:21,972 | WARNING | src.base     | GET https://rsshub.app/twitter/user/FabrizioRomano -> 404
2026-07-28 14:44:34,652 | WARNING | src.base     | GET https://nitter.privacydev.net/FabrizioRomano/rss failed: HTTPSConnectionPool(host='nitter.privacydev.net', port=443): Max retries exceeded with url: /FabrizioRomano/rss (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'nitter.privacydev.net'. (_ssl.c:1032)")))
2026-07-28 14:44:43,075 | WARNING | src.base     | GET https://nitter.poast.org/FabrizioRomano/rss -> 403
2026-07-28 14:44:47,738 | ERROR   | src.romano   | هیچ فیدی برای رومانو جواب نداد — ROMANO_FEEDS را بررسی کنید
2026-07-28 14:45:21,999 | WARNING | src.base     | GET https://rsshub.app/twitter/user/FabrizioRomano -> 404
